obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3771820202.68,14,3.47788000107,3779218460.79,3779218536.71,3771820202.68,0.0,internal_timestamp,68.4840011597,1562831402.68,33.9143981934,1,7.5,1026.81086673,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('1',)",3771820202.74,14,3.47780990601,3779218460.81,3779218536.71,3771820202.74,0.0,internal_timestamp,68.4769973755,1562831402.74,33.9136009216,0,7.5001001358,1026.8101936,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('2',)",3771820202.81,14,3.47782993317,3779218460.81,3779218536.71,3771820202.81,0.0,internal_timestamp,68.4729995728,1562831402.81,33.9135017395,0,7.50029993057,1026.81006863,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('3',)",3771820202.87,14,3.47788000107,3779218460.81,3779218536.71,3771820202.87,0.0,internal_timestamp,68.4840011597,1562831402.87,33.9142990112,0,7.5001001358,1026.81077442,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('4',)",3771820202.93,14,3.47780990601,3779218460.81,3779218536.71,3771820202.93,0.0,internal_timestamp,68.4769973755,1562831402.93,33.9132995605,0,7.50029993057,1026.80992811,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('5',)",3771820202.99,14,3.47771000862,3779218460.81,3779218536.71,3771820202.99,0.0,internal_timestamp,68.4570007324,1562831402.99,33.9122009277,0,7.50040006638,1026.80895843,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('6',)",3771820203.06,14,3.47779011726,3779218460.81,3779218536.71,3771820203.06,0.0,internal_timestamp,68.452003479,1562831403.06,33.9128990173,0,7.50050020218,1026.80946973,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('7',)",3771820203.12,14,3.47775006294,3779218460.81,3779218536.71,3771820203.12,0.0,internal_timestamp,68.4729995728,1562831403.12,33.9127006531,0,7.50029993057,1026.80943906,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('8',)",3771820203.18,14,3.47768998146,3779218460.81,3779218536.71,3771820203.18,0.0,internal_timestamp,68.4680023193,1562831403.18,33.9119987488,0,7.50040006638,1026.8088501,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('9',)",3771820203.24,14,3.4776699543,3779218460.81,3779218536.71,3771820203.24,0.0,internal_timestamp,68.4619979858,1562831403.24,33.9117012024,0,7.50040006638,1026.80858867,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('10',)",3771820203.31,14,3.47768998146,3779218460.81,3779218536.71,3771820203.31,0.0,internal_timestamp,68.4570007324,1562831403.31,33.9118003845,0,7.50050020218,1026.80862928,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('11',)",3771820203.37,14,3.47775006294,3779218460.81,3779218536.71,3771820203.37,0.0,internal_timestamp,68.452003479,1562831403.37,33.9123001099,0,7.50059986115,1026.80898476,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('12',)",3771820203.43,14,3.47780990601,3779218460.81,3779218536.71,3771820203.43,0.0,internal_timestamp,68.4479980469,1562831403.43,33.9127998352,0,7.50080013275,1026.80933036,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('13',)",3771820203.49,14,3.47782993317,3779218460.81,3779218536.71,3771820203.49,0.0,internal_timestamp,68.4430007935,1562831403.49,33.9129981995,0,7.50089979172,1026.80944899,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('14',)",3771820203.56,14,3.47784996033,3779218460.81,3779218536.71,3771820203.56,0.0,internal_timestamp,68.4390029907,1562831403.56,33.9131011963,0,7.50089979172,1026.80951157,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('15',)",3771820203.62,14,3.47785997391,3779218460.81,3779218536.71,3771820203.62,0.0,internal_timestamp,68.4339981079,1562831403.62,33.9132003784,0,7.50089979172,1026.80956651,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('16',)",3771820203.68,14,3.47785997391,3779218460.81,3779218536.71,3771820203.68,0.0,internal_timestamp,68.4260025024,1562831403.68,33.9132995605,0,7.50089979172,1026.80960771,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('17',)",3771820203.74,14,3.47786998749,3779218460.81,3779218536.71,3771820203.74,0.0,internal_timestamp,68.4199981689,1562831403.74,33.9133987427,0,7.50089979172,1026.80965807,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('18',)",3771820203.81,14,3.47788000107,3779218460.81,3779218536.71,3771820203.81,0.0,internal_timestamp,68.4169998169,1562831403.81,33.9135017395,0,7.50089979172,1026.80972523,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('19',)",3771820203.87,14,3.47788000107,3779218460.81,3779218536.71,3771820203.87,0.0,internal_timestamp,68.4150009155,1562831403.87,33.9133987427,0,7.50089979172,1026.8096351,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('20',)",3771820203.93,14,3.47786998749,3779218460.81,3779218536.71,3771820203.93,0.0,internal_timestamp,68.4069976807,1562831403.93,33.9133987427,0,7.50089979172,1026.80959832,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('21',)",3771820203.99,14,3.47785997391,3779218460.81,3779218536.71,3771820203.99,0.0,internal_timestamp,68.4000015259,1562831403.99,33.9132003784,0,7.50089979172,1026.80941028,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('22',)",3771820204.06,14,3.47784996033,3779218460.81,3779218536.71,3771820204.06,0.0,internal_timestamp,68.3939971924,1562831404.06,33.9132003784,0,7.50089979172,1026.80938268,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('23',)",3771820204.12,14,3.47785997391,3779218460.81,3779218536.71,3771820204.12,0.0,internal_timestamp,68.3899993896,1562831404.12,33.9132003784,0,7.50099992752,1026.80934995,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('24',)",3771820204.87,14,3.47786998749,3779218460.81,3779218536.71,3771820204.87,0.0,internal_timestamp,68.3830032349,1562831404.87,33.9132995605,0,7.50099992752,1026.80939574,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('25',)",3771820204.89,14,3.47788000107,3779218460.81,3779218536.71,3771820204.89,0.0,internal_timestamp,68.3730010986,1562831404.89,33.9133987427,0,7.50110006332,1026.80941336,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('26',)",3771820204.91,14,3.47788000107,3779218460.81,3779218536.71,3771820204.91,0.0,internal_timestamp,68.3720016479,1562831404.91,33.9132995605,0,7.50110006332,1026.80933082,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
